Sample Name	Protocol REF	Parameter Value[Post Extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography Instrument]	Term Source REF	Term Accession Number	Parameter Value[Autosampler model]	Parameter Value[Column model 1]	Parameter Value[Column type 1]	Parameter Value[Guard column]	Parameter Value[Column model 2]	Parameter Value[Column type 2]	Labeled Extract Name	Label	Term Source REF	Term Accession Number	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Term Source REF	Term Accession Number	Parameter Value[Ion source]	Term Source REF	Term Accession Number	Parameter Value[Mass analyzer]	Term Source REF	Term Accession Number	MS Assay Name	Raw Spectral Data File	Protocol REF	Normalization Name	Derived Spectral Data File	Protocol REF	Data Transformation Name	Metabolite Assignment File
plasma_crp_01	Extraction	Dilution of 1:140	None	plasma_crp_01	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_01	FILES/RAW_FILES/plasma_crp_01.d.zip	Data transformation	plasma_crp_01		Metabolite identification	plasma_crp_01	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_02	Extraction	Dilution of 1:140	None	plasma_crp_02	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_02	FILES/RAW_FILES/plasma_crp_02.d.zip	Data transformation	plasma_crp_02		Metabolite identification	plasma_crp_02	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_03	Extraction	Dilution of 1:140	None	plasma_crp_03	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_03	FILES/RAW_FILES/plasma_crp_03.d.zip	Data transformation	plasma_crp_03		Metabolite identification	plasma_crp_03	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_04	Extraction	Dilution of 1:140	None	plasma_crp_04	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_04	FILES/RAW_FILES/plasma_crp_04.d.zip	Data transformation	plasma_crp_04		Metabolite identification	plasma_crp_04	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_06	Extraction	Dilution of 1:140	None	plasma_crp_06	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_06	FILES/RAW_FILES/plasma_crp_06.d.zip	Data transformation	plasma_crp_06		Metabolite identification	plasma_crp_06	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_07	Extraction	Dilution of 1:140	None	plasma_crp_07	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_07	FILES/RAW_FILES/plasma_crp_07.d.zip	Data transformation	plasma_crp_07		Metabolite identification	plasma_crp_07	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_10	Extraction	Dilution of 1:140	None	plasma_crp_10	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_10	FILES/RAW_FILES/plasma_crp_10.d.zip	Data transformation	plasma_crp_10		Metabolite identification	plasma_crp_10	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_11	Extraction	Dilution of 1:140	None	plasma_crp_11	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_11	FILES/RAW_FILES/plasma_crp_11.d.zip	Data transformation	plasma_crp_11		Metabolite identification	plasma_crp_11	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_12	Extraction	Dilution of 1:140	None	plasma_crp_12	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_12	FILES/RAW_FILES/plasma_crp_12.d.zip	Data transformation	plasma_crp_12		Metabolite identification	plasma_crp_12	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
plasma_crp_13	Extraction	Dilution of 1:140	None	plasma_crp_13	Chromatography	Agilent 1290 Infinity 2D-LC			Agilent 1290 Infinity Autosampler	Hypercarb Porous Graphitic Carbon (3 µm, 3 mm x 50 mm; Thermo Scientific)	reverse phase		XBridge BEH C18 (2.5 µm, 2.1 mm x 100 mm; Waters)	reverse phase					Mass spectrometry	positive	SRM	Agilent 6460 Triple Quadrupole			electrospray ionization	MS	http://purl.obolibrary.org/obo/MS_1000073	triple quadrupole			plasma_crp_13	FILES/RAW_FILES/plasma_crp_13.d.zip	Data transformation	plasma_crp_13		Metabolite identification	plasma_crp_13	m_MTBLS6739_LCxLC-MS_pos_metabolite_profiling_v2_maf.tsv
